trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,17.1141063,17.6894694,17.6894694,17.7088714,17.9920208,left,-10,1,1,0.3891862,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
1,2,8,18.1087885,18.6084396,18.6084396,18.6084396,18.9078212,right,8,1,1,0.3524916,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
2,2,6,18.9910209,19.4908323,19.4908323,19.4908323,19.7904539,left,-6,1,1,0.4351191,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
3,2,4,19.9577878,20.4568815,20.4568815,20.4568815,20.7561875,right,4,1,1,0.3547694,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
4,2,2,20.8400003,21.3392204,21.3392204,21.3392204,21.6385239,right,2,1,1,0.4285579,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
5,1,0,21.7887809,22.2881747,22.2881747,22.2881747,22.5880838,left,0,0,0,0.4076544,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
6,1,1,22.7208161,23.2208196,23.2208196,23.2208196,23.520607,right,1,1,1,0.3924617,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
7,1,1,23.6371988,24.1370577,24.1370577,24.1370577,24.4364761,left,-1,1,1,0.4953902,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
8,1,0,24.6529228,25.1521986,25.1521986,25.1521986,25.4520526,right,0,1,1,0.4066909,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
9,1,0,25.5859298,26.0848282,26.0848282,26.1013115,26.3855527,right,0,1,1,0.5100501,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
10,0.5,0,26.6178981,27.1172876,27.1172876,27.1337113,27.4165347,left,0,0,0,0.3799614,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
11,0.5,0.5,27.5161495,28.0162927,28.0162927,28.0162927,28.3164275,left,-0.5,1,1,0.5924222,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
12,0.5,0.5,28.6325663,29.1320847,29.1320847,29.1320847,29.4319102,right,0.5,1,1,0.6212787,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
